epoch,loss,mean_embed_dist,val_eer,elapsed_s
1,1.015580,1.862882,21.341206,20.6
2,0.767497,1.942912,nan,17.8
3,0.704802,2.015405,nan,19.3
4,0.660137,2.057362,nan,19.9
5,0.612626,2.131052,17.007286,19.6
6,0.551079,2.211965,nan,19.1
7,0.498732,2.263961,nan,18.3
8,0.474938,2.303864,nan,18.7
9,0.451984,2.324006,nan,17.7
10,0.445452,2.359357,11.061055,17.3
11,0.423678,2.377740,nan,17.3
12,0.417107,2.406628,nan,17.5
13,0.409331,2.409584,nan,16.8
14,0.399126,2.441061,nan,16.6
15,0.388191,2.467032,11.465327,16.6
16,0.386458,2.472249,nan,16.6
17,0.381479,2.506015,nan,16.7
18,0.370018,2.507587,nan,16.4
19,0.368981,2.541640,nan,16.9
20,0.357720,2.569242,10.176382,16.9
21,0.346958,2.582294,nan,16.9
22,0.336159,2.608497,nan,17.0
23,0.330080,2.602405,nan,17.1
24,0.320629,2.636645,nan,17.2
25,0.322051,2.610382,9.185930,17.1
26,0.318481,2.631235,nan,16.8
27,0.312389,2.641311,nan,17.4
28,0.307442,2.636592,nan,17.2
29,0.313525,2.651133,nan,17.1
30,0.307736,2.632674,7.776382,16.9
31,0.307059,2.632031,nan,16.6
32,0.304937,2.664834,nan,16.9
33,0.300068,2.637961,nan,16.6
34,0.293836,2.658160,nan,17.1
35,0.301297,2.653801,7.897739,16.8
36,0.288815,2.681070,nan,17.1
37,0.296839,2.676290,nan,17.0
38,0.291691,2.665949,nan,16.8
39,0.290828,2.682749,nan,16.7
40,0.287656,2.678069,7.844472,16.9
41,0.287186,2.688925,nan,16.9
42,0.280709,2.716246,nan,16.9
43,0.284470,2.698355,nan,17.1
44,0.279929,2.710152,nan,17.0
45,0.280745,2.734539,8.363317,16.6
46,0.280146,2.730425,nan,17.2
47,0.276742,2.727013,nan,16.9
48,0.278271,2.719190,nan,16.9
49,0.271021,2.734235,nan,17.3
50,0.268298,2.758086,7.607286,16.9
51,0.269235,2.743276,nan,17.0
52,0.274922,2.749558,nan,17.4
53,0.272929,2.730660,nan,16.9
54,0.267401,2.738399,nan,17.0
55,0.268639,2.742733,7.610804,17.2
56,0.262871,2.744903,nan,16.8
57,0.267276,2.736557,nan,16.8
58,0.267625,2.747193,nan,17.1
59,0.266337,2.738376,nan,16.5
60,0.263544,2.760914,7.068342,16.5
61,0.259764,2.771236,nan,17.0
62,0.264496,2.754807,nan,16.8
63,0.263263,2.757053,nan,16.4
64,0.263613,2.756900,nan,17.1
65,0.257836,2.774880,7.023869,16.5
66,0.251437,2.786228,nan,16.7
67,0.257820,2.767506,nan,17.0
68,0.253891,2.781792,nan,16.5
69,0.258014,2.774419,nan,16.8
70,0.251321,2.800488,7.372613,16.9
71,0.254803,2.785652,nan,16.7
72,0.255369,2.809551,nan,16.6
73,0.253585,2.806718,nan,17.2
74,0.250116,2.784272,nan,16.8
75,0.254976,2.790571,6.572864,16.7
76,0.245242,2.792733,nan,17.2
77,0.247776,2.816057,nan,16.8
78,0.246828,2.806925,nan,17.0
79,0.250469,2.797328,nan,17.0
80,0.247050,2.799021,6.549749,16.9
81,0.247444,2.797367,nan,16.6
82,0.248077,2.794671,nan,17.3
83,0.245771,2.801515,nan,17.0
84,0.249655,2.801746,nan,17.1
85,0.242620,2.814569,7.206281,17.2
86,0.241739,2.804066,nan,16.8
87,0.241609,2.805100,nan,16.7
88,0.239788,2.844151,nan,17.3
89,0.236935,2.831481,nan,16.7
90,0.238862,2.849273,7.017588,16.8
91,0.240045,2.849919,nan,17.1
92,0.232377,2.852986,nan,16.7
93,0.240931,2.841012,nan,16.7
94,0.231693,2.873478,nan,17.6
95,0.231238,2.878726,6.687688,16.9
96,0.233599,2.866333,nan,16.7
97,0.230474,2.849550,nan,17.5
98,0.231442,2.867289,nan,16.7
99,0.230377,2.889204,nan,17.0
100,0.233831,2.877332,6.189196,17.0
101,0.231635,2.893796,nan,16.8
102,0.232603,2.864736,nan,16.8
103,0.232974,2.871452,nan,17.4
104,0.224255,2.881322,nan,17.0
105,0.225276,2.875384,6.185427,17.1
106,0.225877,2.918334,nan,17.4
107,0.226625,2.888661,nan,17.0
108,0.225591,2.901834,nan,16.7
109,0.224863,2.906809,nan,17.5
110,0.225974,2.899597,6.082663,16.9
111,0.223001,2.898887,nan,17.0
112,0.225675,2.923214,nan,17.2
113,0.226601,2.902196,nan,16.9
114,0.214843,2.935590,nan,16.9
115,0.223483,2.919305,5.961055,17.0
116,0.217301,2.932063,nan,16.8
117,0.216998,2.935270,nan,16.6
118,0.213643,2.915641,nan,17.3
119,0.214670,2.946677,nan,17.0
120,0.211460,2.937215,5.828141,16.8
121,0.216856,2.934365,nan,17.4
122,0.218732,2.947668,nan,16.9
123,0.215861,2.916586,nan,16.9
124,0.215086,2.955259,nan,17.1
125,0.214944,2.958499,5.457538,16.8
126,0.210532,2.945211,nan,16.6
127,0.211214,2.955253,nan,17.2
128,0.212437,2.931285,nan,17.0
129,0.209996,2.940606,nan,16.8
130,0.211843,2.951589,5.405025,17.3
131,0.206104,2.980041,nan,16.9
132,0.209916,2.948339,nan,17.2
133,0.210030,2.961538,nan,17.3
134,0.208904,2.971057,nan,17.3
135,0.209010,2.952540,5.556281,16.9
136,0.208925,2.956009,nan,17.2
137,0.207080,2.975309,nan,17.2
138,0.207925,2.958814,nan,16.9
139,0.203004,2.988412,nan,17.3
140,0.206849,2.976543,5.597487,17.2
141,0.207052,2.954304,nan,17.0
142,0.211689,2.995699,nan,17.1
143,0.204879,2.972383,nan,16.6
144,0.207203,2.969362,nan,16.7
145,0.202619,3.000555,5.275126,17.0
146,0.203704,2.994391,nan,17.0
147,0.202772,2.977367,nan,16.9
148,0.206525,2.963049,nan,17.1
149,0.202480,2.999448,nan,16.9
150,0.201144,2.974529,5.585176,16.6
151,0.196834,2.989889,nan,17.0
152,0.199823,3.010037,nan,16.5
153,0.202748,2.991713,nan,16.8
154,0.201749,3.000185,nan,16.9
155,0.197001,3.009196,5.361558,17.1
156,0.202352,3.010223,nan,16.7
157,0.201462,2.991867,nan,17.4
158,0.201770,2.993489,nan,17.0
159,0.198174,3.001513,nan,16.7
160,0.198692,3.017645,5.334171,17.3
161,0.201598,2.998494,nan,16.9
162,0.194363,3.005759,nan,16.8
163,0.195462,3.028366,nan,17.2
164,0.195379,3.032045,nan,16.8
165,0.196009,3.034926,4.819598,17.0
166,0.195391,3.006914,nan,17.0
167,0.194520,3.010330,nan,17.4
168,0.189954,3.041304,nan,16.8
169,0.195589,3.029110,nan,17.1
170,0.195634,2.993007,4.907035,16.9
171,0.194812,3.022874,nan,16.9
172,0.190340,3.033699,nan,17.0
173,0.188833,3.044802,nan,17.2
174,0.189153,3.069339,nan,16.7
175,0.194052,3.046920,4.662814,17.0
176,0.191460,3.071876,nan,16.8
177,0.194984,3.014541,nan,16.8
178,0.191923,3.017456,nan,17.2
179,0.189366,3.043667,nan,16.8
180,0.192401,3.029412,4.721608,16.6
181,0.188464,3.038041,nan,17.0
182,0.193672,3.032865,nan,16.7
183,0.185122,3.032036,nan,16.8
184,0.193340,3.010021,nan,17.0
185,0.187499,3.040790,5.048492,17.2
186,0.189354,3.044420,nan,16.8
187,0.185149,3.075491,nan,17.0
188,0.188589,3.026912,nan,17.1
189,0.188058,3.043715,nan,17.1
190,0.186562,3.035827,5.024623,17.1
191,0.188292,3.032970,nan,17.0
192,0.188840,3.040673,nan,17.0
193,0.187797,3.056038,nan,17.1
194,0.184016,3.067432,nan,16.8
195,0.186107,3.065595,4.254523,17.0
196,0.187676,3.056048,nan,17.1
197,0.188071,3.056878,nan,16.9
198,0.189534,3.068448,nan,16.9
199,0.185244,3.081783,nan,17.1
200,0.183922,3.063854,4.319347,17.0
